;activation;dense;layers;ngrams;regularization;precision;recall;f1-score
0;tanh;15;3;3;0;0,689;0,688;0,687
1;tanh;15;3;3;0,1;0,680;0,680;0,680
2;tanh;15;3;3;0,2;0,656;0,656;0,656
3;sigmoid;15;3;3;0;0,698;0,697;0,697
4;sigmoid;15;3;3;0,1;0,702;0,702;0,702
5;sigmoid;15;3;3;0,2;0,694;0,692;0,691
6;hard_sigmoid;15;3;3;0;0,712;0,710;0,710
7;hard_sigmoid;15;3;3;0,1;0,690;0,686;0,683
8;hard_sigmoid;15;3;3;0,2;0,690;0,688;0,686
9;relu;15;3;3;0;0,719;0,713;0,712
10;relu;15;3;3;0,1;0,708;0,702;0,699
11;relu;15;3;3;0,2;0,702;0,701;0,700
12;tanh;30;3;3;0;0,685;0,684;0,683
13;tanh;30;3;3;0,1;0,693;0,691;0,690
14;tanh;30;3;3;0,2;0,672;0,669;0,667
15;sigmoid;30;3;3;0;0,711;0,712;0,711
16;sigmoid;30;3;3;0,1;0,701;0,702;0,701
17;sigmoid;30;3;3;0,2;0,695;0,693;0,692
18;hard_sigmoid;30;3;3;0;0,706;0,701;0,699
19;hard_sigmoid;30;3;3;0,1;0,712;0,712;0,711
20;hard_sigmoid;30;3;3;0,2;0,690;0,677;0,673
21;relu;30;3;3;0;0,725;0,713;0,709
22;relu;30;3;3;0,1;0,712;0,710;0,710
23;relu;30;3;3;0,2;0,695;0,688;0,686
24;tanh;60;3;3;0;0,691;0,689;0,687
25;tanh;60;3;3;0,1;0,700;0,699;0,698
26;tanh;60;3;3;0,2;0,673;0,662;0,655
27;sigmoid;60;3;3;0;0,712;0,712;0,711
28;sigmoid;60;3;3;0,1;0,706;0,702;0,701
29;sigmoid;60;3;3;0,2;0,697;0,694;0,693
30;hard_sigmoid;60;3;3;0;0,708;0,702;0,701
31;hard_sigmoid;60;3;3;0,1;0,689;0,685;0,682
32;hard_sigmoid;60;3;3;0,2;0,690;0,681;0,676
33;relu;60;3;3;0;0,714;0,709;0,707
34;relu;60;3;3;0,1;0,706;0,706;0,705
35;relu;60;3;3;0,2;0,695;0,695;0,695
36;tanh;15;6;3;0;0,711;0,711;0,710
37;tanh;15;6;3;0,1;0,682;0,682;0,682
38;tanh;15;6;3;0,2;0,682;0,681;0,681
39;sigmoid;15;6;3;0;0,720;0,718;0,718
40;sigmoid;15;6;3;0,1;0,714;0,714;0,714
41;sigmoid;15;6;3;0,2;0,701;0,701;0,701
42;hard_sigmoid;15;6;3;0;0,689;0,689;0,689
43;hard_sigmoid;15;6;3;0,1;0,714;0,713;0,713
44;hard_sigmoid;15;6;3;0,2;0,702;0,696;0,695
45;relu;15;6;3;0;0,711;0,710;0,708
46;relu;15;6;3;0,1;0,714;0,714;0,713
47;relu;15;6;3;0,2;0,703;0,700;0,698
48;tanh;30;6;3;0;0,703;0,703;0,702
49;tanh;30;6;3;0,1;0,696;0,697;0,696
50;tanh;30;6;3;0,2;0,673;0,669;0,666
51;sigmoid;30;6;3;0;0,720;0,720;0,720
52;sigmoid;30;6;3;0,1;0,712;0,707;0,705
53;sigmoid;30;6;3;0,2;0,702;0,702;0,702
54;hard_sigmoid;30;6;3;0;0,723;0,722;0,722
55;hard_sigmoid;30;6;3;0,1;0,716;0,715;0,715
56;hard_sigmoid;30;6;3;0,2;0,696;0,696;0,696
57;relu;30;6;3;0;0,710;0,696;0,690
58;relu;30;6;3;0,1;0,717;0,716;0,715
59;relu;30;6;3;0,2;0,697;0,691;0,688
60;tanh;60;6;3;0;0,692;0,692;0,692
61;tanh;60;6;3;0,1;0,697;0,691;0,688
62;tanh;60;6;3;0,2;0,687;0,676;0,670
63;sigmoid;60;6;3;0;0,726;0,726;0,726
64;sigmoid;60;6;3;0,1;0,705;0,705;0,705
65;sigmoid;60;6;3;0,2;0,708;0,701;0,698
66;hard_sigmoid;60;6;3;0;0,711;0,710;0,710
67;hard_sigmoid;60;6;3;0,1;0,719;0,717;0,716
68;hard_sigmoid;60;6;3;0,2;0,709;0,706;0,705
69;relu;60;6;3;0;0,720;0,717;0,716
70;relu;60;6;3;0,1;0,714;0,702;0,696
71;relu;60;6;3;0,2;0,714;0,711;0,710
72;tanh;15;10;3;0;0,710;0,710;0,710
73;tanh;15;10;3;0,1;0,707;0,706;0,706
74;tanh;15;10;3;0,2;0,694;0,684;0,678
75;sigmoid;15;10;3;0;0,722;0,723;0,722
76;sigmoid;15;10;3;0,1;0,719;0,718;0,717
77;sigmoid;15;10;3;0,2;0,710;0,707;0,706
78;hard_sigmoid;15;10;3;0;0,712;0,711;0,711
79;hard_sigmoid;15;10;3;0,1;0,715;0,714;0,714
80;hard_sigmoid;15;10;3;0,2;0,708;0,698;0,694
81;relu;15;10;3;0;0,719;0,711;0,709
82;relu;15;10;3;0,1;0,714;0,713;0,713
83;relu;15;10;3;0,2;0,699;0,698;0,697
84;tanh;30;10;3;0;0,702;0,700;0,698
85;tanh;30;10;3;0,1;0,708;0,707;0,706
86;tanh;30;10;3;0,2;0,686;0,678;0,674
87;sigmoid;30;10;3;0;0,726;0,726;0,726
88;sigmoid;30;10;3;0,1;0,719;0,712;0,709
89;sigmoid;30;10;3;0,2;0,713;0,708;0,705
90;hard_sigmoid;30;10;3;0;0,724;0,719;0,718
91;hard_sigmoid;30;10;3;0,1;0,715;0,715;0,715
92;hard_sigmoid;30;10;3;0,2;0,715;0,712;0,711
93;relu;30;10;3;0;0,722;0,720;0,720
94;relu;30;10;3;0,1;0,717;0,716;0,715
95;relu;30;10;3;0,2;0,700;0,686;0,679
96;tanh;60;10;3;0;0,704;0,704;0,704
97;tanh;60;10;3;0,1;0,700;0,698;0,696
98;tanh;60;10;3;0,2;0,684;0,684;0,684
99;sigmoid;60;10;3;0;0,726;0,722;0,720
100;sigmoid;60;10;3;0,1;0,715;0,714;0,713
101;sigmoid;60;10;3;0,2;0,706;0,697;0,692
102;hard_sigmoid;60;10;3;0;0,714;0,714;0,714
103;hard_sigmoid;60;10;3;0,1;0,725;0,719;0,716
104;hard_sigmoid;60;10;3;0,2;0,710;0,709;0,709
105;relu;60;10;3;0;0,723;0,722;0,721
106;relu;60;10;3;0,1;0,718;0,713;0,711
107;relu;60;10;3;0,2;0,711;0,711;0,711
108;tanh;15;3;4;0;0,688;0,681;0,677
109;tanh;15;3;4;0,1;0,699;0,698;0,696
110;tanh;15;3;4;0,2;0,680;0,667;0,660
111;sigmoid;15;3;4;0;0,711;0,711;0,711
112;sigmoid;15;3;4;0,1;0,690;0,690;0,690
113;sigmoid;15;3;4;0,2;0,697;0,697;0,697
114;hard_sigmoid;15;3;4;0;0,716;0,713;0,712
115;hard_sigmoid;15;3;4;0,1;0,690;0,687;0,687
116;hard_sigmoid;15;3;4;0,2;0,691;0,687;0,684
117;relu;15;3;4;0;0,719;0,710;0,706
118;relu;15;3;4;0,1;0,708;0,700;0,697
119;relu;15;3;4;0,2;0,700;0,700;0,699
120;tanh;30;3;4;0;0,697;0,692;0,689
121;tanh;30;3;4;0,1;0,690;0,689;0,689
122;tanh;30;3;4;0,2;0,686;0,683;0,681
123;sigmoid;30;3;4;0;0,716;0,716;0,716
124;sigmoid;30;3;4;0,1;0,706;0,706;0,705
125;sigmoid;30;3;4;0,2;0,700;0,691;0,687
126;hard_sigmoid;30;3;4;0;0,716;0,715;0,714
127;hard_sigmoid;30;3;4;0,1;0,719;0,706;0,700
128;hard_sigmoid;30;3;4;0,2;0,689;0,680;0,675
129;relu;30;3;4;0;0,706;0,706;0,706
130;relu;30;3;4;0,1;0,702;0,697;0,695
131;relu;30;3;4;0,2;0,708;0,703;0,701
132;tanh;60;3;4;0;0,690;0,690;0,690
133;tanh;60;3;4;0,1;0,692;0,686;0,683
134;tanh;60;3;4;0,2;0,696;0,691;0,688
135;sigmoid;60;3;4;0;0,722;0,722;0,721
136;sigmoid;60;3;4;0,1;0,715;0,707;0,704
137;sigmoid;60;3;4;0,2;0,690;0,662;0,651
138;hard_sigmoid;60;3;4;0;0,711;0,710;0,709
139;hard_sigmoid;60;3;4;0,1;0,716;0,714;0,713
140;hard_sigmoid;60;3;4;0,2;0,705;0,696;0,692
141;relu;60;3;4;0;0,708;0,707;0,707
142;relu;60;3;4;0,1;0,718;0,718;0,718
143;relu;60;3;4;0,2;0,707;0,701;0,698
144;tanh;15;6;4;0;0,702;0,702;0,702
145;tanh;15;6;4;0,1;0,701;0,692;0,687
146;tanh;15;6;4;0,2;0,683;0,682;0,681
147;sigmoid;15;6;4;0;0,726;0,726;0,726
148;sigmoid;15;6;4;0,1;0,715;0,715;0,714
149;sigmoid;15;6;4;0,2;0,711;0,706;0,703
150;hard_sigmoid;15;6;4;0;0,721;0,720;0,720
151;hard_sigmoid;15;6;4;0,1;0,716;0,715;0,715
152;hard_sigmoid;15;6;4;0,2;0,715;0,709;0,707
153;relu;15;6;4;0;0,725;0,724;0,723
154;relu;15;6;4;0,1;0,727;0,717;0,713
155;relu;15;6;4;0,2;0,700;0,693;0,690
156;tanh;30;6;4;0;0,703;0,697;0,694
157;tanh;30;6;4;0,1;0,690;0,690;0,689
158;tanh;30;6;4;0,2;0,691;0,684;0,680
159;sigmoid;30;6;4;0;0,728;0,728;0,728
160;sigmoid;30;6;4;0,1;0,712;0,710;0,708
161;sigmoid;30;6;4;0,2;0,715;0,708;0,705
162;hard_sigmoid;30;6;4;0;0,712;0,704;0,700
163;hard_sigmoid;30;6;4;0,1;0,716;0,709;0,706
